EmployeeID,FirstName,LastName,Age,Department,JobTitle,Salary,DateHired,LastPromotionDate,PerformanceScore,Absences,EducationLevel,EmployeeSatisfaction
1001,Diane,Douglas,41,Marketing,HR Manager,57429.0,2021-07-12,,2.0,11.0,No Diploma,1
1002,Donald,Payne,47,Sales,Data Analyst,83390.0,2020-12-29,,,11.0,High School Diploma,1
1003,Kevin,Leach,43,Marketing,HR Manager,54973.0,2018-10-02,2023-09-15,5.0,6.0,Associates Degree,3
1004,Amber,Wheeler,32,HR,Marketing Specialist,88081.0,2023-02-18,2023-03-03,3.0,5.0,Master,4
1005,Jamie,Anderson,49,Sales,Software Engineer,77281.0,2020-08-14,,3.0,1.0,PhD,4
1006,Stacey,Nelson,36,Marketing,Sales Executive,62582.0,2020-04-19,2022-03-23,5.0,,No Diploma,3
1007,Kimberly,,50,Sales,Software Engineer,,2021-11-10,,5.0,15.0,PhD,2
1008,Kathleen,Brown,37,IT,HR Manager,83363.0,2022-06-22,,,16.0,Bachelor,4
1009,Jennifer,Curry,45,Sales,Software Engineer,52211.0,2021-02-26,2021-11-24,4.0,1.0,Bachelor,4
1010,Wendy,Harrison,60,Marketing,Software Engineer,69625.0,2022-07-11,2021-11-14,,15.0,Master,3
1011,James,Johnston,36,HR,Software Engineer,84426.0,2023-02-19,2022-05-25,3.0,18.0,PhD,4
1012,Victoria,Gibson,36,Marketing,Data Analyst,85641.0,2021-12-23,2022-03-26,5.0,19.0,PhD,2
1013,Kimberly,Baker,33,IT,Marketing Specialist,,2021-08-25,2022-07-04,,14.0,Bachelor,5
1014,Patrick,Davis,54,Sales,HR Manager,57569.0,2019-12-12,2023-05-28,3.0,7.0,Associates Degree,4
1015,Albert,Murphy,42,IT,Sales Executive,43216.0,2019-08-05,,1.0,11.0,Bachelor,4
1016,Kimberly,Gonzales,39,IT,Sales Executive,51795.0,2021-11-20,2021-07-15,3.0,2.0,PhD,5
1017,Kimberly,Caldwell,26,Marketing,Marketing Specialist,55234.0,2022-10-20,,1.0,9.0,Bachelor,3
1018,Mark,Vega,25,Marketing,Software Engineer,61379.0,2020-02-07,,,18.0,Master,2
1019,Emily,Lowe,36,Sales,Marketing Specialist,76067.0,2021-08-19,2023-03-29,3.0,,Master,1
1020,Shannon,Turner,42,HR,Sales Executive,69306.0,2022-06-07,2022-03-21,2.0,19.0,High School Diploma,5
1021,Michael,Foster,31,HR,Sales Executive,64608.0,2020-06-01,2023-08-28,1.0,5.0,No Diploma,2
1022,Garrett,Cortez,55,Sales,HR Manager,64369.0,2018-12-13,,5.0,8.0,PhD,1
1023,Parker,Allen,50,IT,HR Manager,,2019-05-12,2022-01-22,1.0,15.0,PhD,2
1024,Daniel,,49,IT,Marketing Specialist,56488.0,2020-11-14,,3.0,9.0,Bachelor,4
1025,Manuel,Smith,32,IT,Data Analyst,87657.0,2023-03-02,2021-10-01,5.0,12.0,No Diploma,5
1026,Christopher,Nichols,53,Marketing,Software Engineer,56086.0,2018-09-30,,,10.0,PhD,3
1027,Laurie,Rose,57,HR,Sales Executive,60138.0,2019-02-18,,2.0,10.0,High School Diploma,4
1028,Erica,Russo,26,Marketing,Software Engineer,54764.0,2022-04-29,,2.0,18.0,Associates Degree,1
1029,Jenny,Boone,47,HR,Data Analyst,51371.0,2022-04-25,,2.0,,Bachelor,5
1030,Laura,Ibarra,31,HR,Marketing Specialist,79302.0,2019-12-14,,5.0,19.0,No Diploma,3
1031,Maria,Callahan,59,Marketing,Sales Executive,42186.0,2022-09-01,2021-11-27,,4.0,High School Diploma,1
1032,Emily,Bryant,42,Marketing,Software Engineer,54932.0,2020-11-16,,2.0,4.0,High School Diploma,5
1033,Sandra,Crosby,28,Sales,Sales Executive,54799.0,2022-05-16,,,2.0,Master,4
1034,Colleen,Turner,27,IT,Marketing Specialist,89058.0,2023-06-22,2021-11-21,3.0,2.0,Associates Degree,5
1035,Alan,Johnson,25,Marketing,Marketing Specialist,66083.0,2019-03-06,,5.0,16.0,Bachelor,3
1036,David,Gaines,52,Sales,Marketing Specialist,73080.0,2022-09-02,2022-08-03,1.0,2.0,Master,4
1037,Isaac,Anderson,30,Sales,Sales Executive,83043.0,2018-12-16,2021-02-06,1.0,2.0,Bachelor,4
1038,Linda,Mora,55,Marketing,Sales Executive,78355.0,2018-08-01,,5.0,7.0,Associates Degree,1
1039,Karen,Phillips,48,Marketing,Sales Executive,59100.0,2018-09-02,2022-09-08,5.0,7.0,Master,1
1040,Julia,Underwood,54,HR,Sales Executive,69237.0,2023-03-08,2023-03-16,5.0,7.0,Associates Degree,1
1041,Matthew,Wilcox,56,HR,HR Manager,68071.0,2021-06-09,,1.0,15.0,Master,4
1042,Alexis,Mitchell,49,HR,Software Engineer,71339.0,2020-08-26,2021-06-10,3.0,15.0,High School Diploma,1
1043,Paul,Rhodes,41,IT,Software Engineer,82254.0,2023-01-23,2022-07-18,3.0,8.0,Bachelor,1
1044,Brenda,Hess,56,Marketing,Sales Executive,,2021-11-04,2021-02-26,3.0,20.0,Bachelor,3
1045,Kelsey,Warren,53,Marketing,Marketing Specialist,81514.0,2021-12-21,2021-04-05,4.0,8.0,No Diploma,3
1046,Pamela,Harper,54,Marketing,Software Engineer,55487.0,2020-04-29,2023-02-14,,4.0,No Diploma,3
1047,Charlotte,Fischer,37,Sales,Marketing Specialist,52054.0,2019-10-25,2022-06-26,3.0,11.0,No Diploma,2
1048,Donna,Livingston,55,Sales,Software Engineer,75559.0,2022-10-02,,5.0,2.0,No Diploma,5
1049,Melissa,Coleman,28,HR,Data Analyst,67490.0,2020-03-23,2023-01-23,4.0,17.0,PhD,4
1050,Robert,Fernandez,29,Sales,HR Manager,48175.0,2020-05-28,2023-01-24,1.0,10.0,PhD,1
1051,Robert,Coleman,30,Sales,Marketing Specialist,67366.0,2021-01-12,2021-05-06,3.0,17.0,Master,5
1052,Kelly,Butler,38,IT,HR Manager,,2020-04-17,,2.0,5.0,Master,4
1053,Peter,Roy,33,IT,Sales Executive,69009.0,2020-02-11,2021-06-29,1.0,,High School Diploma,2
1054,Michael,Williams,39,Marketing,Software Engineer,48283.0,2021-02-19,,5.0,2.0,Associates Degree,5
1055,Rebecca,Rogers,26,Sales,Software Engineer,75467.0,2019-05-03,2021-03-10,1.0,7.0,High School Diploma,3
1056,Randy,Armstrong,56,IT,Marketing Specialist,45804.0,2018-09-28,2022-11-16,1.0,3.0,Master,4
1057,Jacob,Campbell,59,IT,Sales Executive,77472.0,2020-07-29,2021-08-04,3.0,18.0,Associates Degree,3
1058,Crystal,Contreras,25,Marketing,Sales Executive,74660.0,2020-10-19,2021-10-13,1.0,15.0,High School Diploma,2
1059,Megan,Silva,48,HR,HR Manager,53833.0,2018-05-16,2023-05-20,3.0,11.0,PhD,5
1060,Laura,Blanchard,32,IT,HR Manager,51950.0,2021-08-07,,1.0,11.0,Master,3
1061,Thomas,Hoffman,39,Marketing,Marketing Specialist,87154.0,2019-04-07,2021-02-16,1.0,,PhD,3
1062,Katherine,Phillips,58,Sales,HR Manager,,2021-08-18,,3.0,8.0,No Diploma,4
1063,Mackenzie,Williams,29,HR,HR Manager,80630.0,2023-05-04,,3.0,20.0,High School Diploma,2
1064,Melissa,Chang,33,HR,Data Analyst,43506.0,2019-01-30,2023-08-30,2.0,15.0,Bachelor,3
1065,Jonathan,Walls,54,Marketing,Sales Executive,,2018-12-06,,5.0,,PhD,4
1066,Rodney,Peck,26,Marketing,Sales Executive,81455.0,2023-05-13,2023-06-18,2.0,,High School Diploma,4
1067,Lisa,Banks,35,IT,HR Manager,84414.0,2023-01-02,,5.0,2.0,Bachelor,1
1068,Chad,Martin,32,HR,HR Manager,,2019-12-02,,,2.0,Associates Degree,2
1069,Angela,Blair,41,Marketing,Data Analyst,49036.0,2021-07-13,2022-12-27,3.0,18.0,No Diploma,1
1070,Lorraine,Smith,44,HR,Software Engineer,82688.0,2021-04-08,,5.0,2.0,No Diploma,2
1071,Jessica,,32,HR,HR Manager,64555.0,2023-02-16,2021-06-28,5.0,13.0,PhD,1
1072,Chad,,59,HR,Sales Executive,48543.0,2021-02-16,2021-02-15,5.0,0.0,Master,4
1073,Renee,Norris,43,HR,Software Engineer,,2022-06-10,,4.0,9.0,PhD,4
